group,subset,method_key,method,tree_idx,normalized_rf,bsd
Amphibians,3,original,Proposed,8,0.1896551724137931,0.2292277312206903
Amphibians,3,original,Proposed,9,0.29310344827586204,0.17812334616032474
Amphibians,3,original,Proposed,10,0.27586206896551724,0.22580944272481612
Amphibians,3,original,Proposed,11,0.15517241379310345,0.24223600128256906
Amphibians,3,original,Proposed,12,0.3103448275862069,0.36059119168688286
Amphibians,3,original,Proposed,13,0.3275862068965517,0.13955917459766687
Amphibians,3,original,Proposed,14,0.3103448275862069,0.20893301774085277
Amphibians,3,original,Proposed,15,0.10344827586206896,0.2724637085959188
Amphibians,3,original,Proposed,16,0.25862068965517243,0.25357939633293425
Amphibians,3,original,Proposed,17,0.29310344827586204,0.3129180602099278
Amphibians,3,original,Proposed,18,0.15517241379310345,0.21736777040901245
Amphibians,3,original,Proposed,19,0.27586206896551724,0.2615812836163967
Amphibians,3,original,Proposed,20,0.29310344827586204,0.18320733160348934
Amphibians,3,original,Proposed,21,0.27586206896551724,0.2301848706530688
Amphibians,3,original,Proposed,22,0.15517241379310345,0.1639381817779363
Amphibians,3,original,Proposed,23,0.27586206896551724,0.22016925366901968
Amphibians,3,original,Proposed,24,0.2413793103448276,0.17056239046940933
Amphibians,3,original,Proposed,25,0.1896551724137931,0.198087386557482
Amphibians,3,original,Proposed,26,0.1896551724137931,0.31424004070036726
Amphibians,3,original,Proposed,27,0.20689655172413793,0.24808769183461554
Amphibians,3,original,Proposed,28,0.1896551724137931,0.2681733478388492
Amphibians,3,original,Proposed,29,0.3448275862068966,0.21197337320381227
Amphibians,3,original,Proposed,30,0.3448275862068966,0.25655165213891234
Amphibians,3,at_root,Root Attach,1,0.7586206896551724,0.30162806786234647
Amphibians,3,at_root,Root Attach,2,0.7413793103448276,0.34056372818362324
Amphibians,3,at_root,Root Attach,3,0.8620689655172413,0.31699567698050246
Amphibians,3,at_root,Root Attach,4,0.8103448275862069,0.38632182351236394
Amphibians,3,at_root,Root Attach,5,0.7758620689655172,0.33166822812194136
Amphibians,3,at_root,Root Attach,6,0.7241379310344828,0.25058139801546764
Amphibians,3,at_root,Root Attach,7,0.8103448275862069,0.397643519437701
Amphibians,3,at_root,Root Attach,8,0.8275862068965517,0.35431897964248715
Amphibians,3,at_root,Root Attach,9,0.9137931034482759,0.3973042614004608
Amphibians,3,at_root,Root Attach,10,0.7931034482758621,0.2975682658788394
Amphibians,3,at_root,Root Attach,11,0.7413793103448276,0.30210886456546965
Amphibians,3,at_root,Root Attach,12,0.9310344827586207,0.42645536401902
Amphibians,3,at_root,Root Attach,13,0.7413793103448276,0.29345318728137343
Amphibians,3,at_root,Root Attach,14,0.8448275862068966,0.3430743189851596
Amphibians,3,at_root,Root Attach,15,0.7586206896551724,0.33765904214177056
Amphibians,3,at_root,Root Attach,16,0.7931034482758621,0.36157222724364063
Amphibians,3,at_root,Root Attach,17,0.7931034482758621,0.3672387861333036
Amphibians,3,at_root,Root Attach,18,0.6724137931034483,0.24625795519242863
Amphibians,3,at_root,Root Attach,19,0.7931034482758621,0.3706943002530701
Amphibians,3,at_root,Root Attach,20,0.8103448275862069,0.32188005531343084
Amphibians,3,at_root,Root Attach,21,0.7931034482758621,0.28723939433712603
Amphibians,3,at_root,Root Attach,22,0.8103448275862069,0.29220605227901447
Amphibians,3,at_root,Root Attach,23,0.8793103448275862,0.3991557437178018
Amphibians,3,at_root,Root Attach,24,0.7931034482758621,0.4012122461777198
Amphibians,3,at_root,Root Attach,25,0.896551724137931,0.29263053278817286
Amphibians,3,at_root,Root Attach,26,0.8275862068965517,0.3822077244289611
Amphibians,3,at_root,Root Attach,27,0.896551724137931,0.36397045321688326
Amphibians,3,at_root,Root Attach,28,0.8448275862068966,0.35104879888039775
Amphibians,3,at_root,Root Attach,29,0.8448275862068966,0.35053555994411284
